url,title_text,price_lkr,brand,model,year,mileage_km,fuel_type,engine_capacity_cc,transmission,location
https://ikman.lk/en/ad/baic-x55-ii-luxury-2025-for-sale-kandy-1,BAIC X55 II Luxury 2025 for Sale in Kandy City | ikman,15500000,BAIC,X55 II,2025,0,Petrol,1500,Tiptronic,Kandy
https://ikman.lk/en/ad/mahindra-kuv-100-2024-for-sale-kalutara,Mahindra KUV 100 2024 for Sale in Horana | ikman,6450000,Mahindra,KUV 100,2024,48000,Diesel,1200,Automatic,
https://ikman.lk/en/ad/mercedes-benz-e200-2010-for-sale-colombo-333,Mercedes Benz E200 2010 for Sale in Colombo 9 | ikman,15600000,Mercedes Benz,E200,2010,55000,Petrol,1990,Automatic,Colombo
https://ikman.lk/en/ad/bmw-218i-m-sport-2024-for-sale-colombo-25,BMW 218i M Sport 2024 for Sale in Dehiwala | ikman,26500000,BMW,218i,2024,5000,Petrol,1500,Automatic,Colombo
https://ikman.lk/en/ad/honda-vezel-z-play-standard-2025-for-sale-colombo-11,Honda Vezel Z Play Standard 2025 for Sale in Colombo 6 | ikman,19800000,Honda,Vezel,2025,0,Hybrid,1500,Automatic,Colombo
https://ikman.lk/en/ad/toyota-roomy-g-custom-2022-for-sale-colombo-8,Toyota Roomy G CUSTOM 2022 for Sale in Dehiwala | ikman,8475000,Toyota,Roomy,2022,53000,Petrol,1000,Automatic,Colombo
https://ikman.lk/en/ad/suzuki-wagon-r-fx-saftey-2023-for-sale-colombo-3,Suzuki Wagon R FX Saftey 2023 for Sale in Dehiwala | ikman,7250000,Suzuki,Wagon R,2023,11000,Petrol,660,Automatic,Colombo
https://ikman.lk/en/ad/toyota-allion-260-2008-for-sale-gampaha-345,Toyota Allion 260 2008 for Sale in Gampaha City | ikman,8900000,Toyota,Allion,2008,166000,Petrol,1500,Automatic,Gampaha
https://ikman.lk/en/ad/volkswagen-t-cross-tsi-style-2024-for-sale-colombo-6,Volkswagen T-Cross TSI Style 2024 for Sale in Colombo 6 | ikman,15400000,Volkswagen,T-Cross,2024,7900,Petrol,1000,Automatic,Colombo
https://ikman.lk/en/ad/mitsubishi-outlander-fully-loaded-2016-for-sale-colombo,Mitsubishi Outlander Fully Loaded 2016 for Sale in Malabe | ikman,13800000,Mitsubishi,Outlander,2016,154000,Petrol,2400,Tiptronic,
https://ikman.lk/en/ad/honda-vezel-z-play-2024-for-sale-matara-9,Honda Vezel Z Play 2024 for Sale in Matara City | ikman,18400000,Honda,Vezel,2024,9500,Hybrid,1500,Automatic,Matara
